Date,CountryCode,NumberOfFans
2018-10-07,TN,17577
2018-10-07,US,11112
2018-10-07,YT,1952
2018-10-07,ZA,2415
2018-10-08,AO,5850
2018-10-08,BE,10255
2018-10-08,BF,42664
2018-10-08,BI,3160
2018-10-08,BJ,13234
2018-10-08,CA,10368
2018-10-08,CD,49492
2018-10-08,CF,4743
2018-10-08,CG,18270
2018-10-08,CH,1664
2018-10-08,CI,110109
2018-10-08,CM,100398
2018-10-08,CN,1511
2018-10-08,DE,3177
2018-10-08,DJ,3312
2018-10-08,DZ,38588
2018-10-08,ES,2444
2018-10-08,FR,72040
2018-10-08,GA,23505
2018-10-08,GB,1981
2018-10-08,GF,1664
2018-10-08,GH,2283
2018-10-08,GN,36045
2018-10-08,GP,5335
2018-10-08,HT,22714
2018-10-08,IT,6707
2018-10-08,KM,4825
2018-10-08,MA,12263
2018-10-08,MG,71932
2018-10-08,ML,40017
2018-10-08,MQ,5381
2018-10-08,MR,4015
2018-10-08,MU,23884
2018-10-08,NC,4958
2018-10-08,NE,10233
2018-10-08,PF,5093
2018-10-08,RE,20728
2018-10-08,RW,1559
2018-10-08,SN,82469
2018-10-08,TD,3234
2018-10-08,TG,9820
2018-10-08,TN,17627
2018-10-08,US,11124
2018-10-08,YT,1955
2018-10-08,ZA,2422
2018-10-09,AO,5867
2018-10-09,BE,10352
2018-10-09,BF,42747
2018-10-09,BI,3166
2018-10-09,BJ,13252
2018-10-09,CA,10386
2018-10-09,CD,49595
2018-10-09,CF,4756
2018-10-09,CG,18304
2018-10-09,CH,1660
2018-10-09,CI,110277
2018-10-09,CM,100524
2018-10-09,CN,1513
2018-10-09,DE,3198
2018-10-09,DJ,3326
2018-10-09,DZ,38609
2018-10-09,ES,2445
2018-10-09,FR,72187
2018-10-09,GA,23556
2018-10-09,GB,1985
2018-10-09,GF,1667
2018-10-09,GH,2284
2018-10-09,GN,36145
2018-10-09,GP,5336
2018-10-09,HT,22774
2018-10-09,IT,6726
2018-10-09,KM,4838
2018-10-09,MA,12299
2018-10-09,MG,72028
2018-10-09,ML,40053
2018-10-09,MQ,5391
2018-10-09,MR,4017
2018-10-09,MU,23918
2018-10-09,NC,4969
2018-10-09,NE,10237
2018-10-09,PF,5098
2018-10-09,RE,20754
2018-10-09,RW,1564
2018-10-09,SN,82551
2018-10-09,TD,3233
2018-10-09,TG,9824
2018-10-09,TN,17676
2018-10-09,US,11145
2018-10-09,YT,1958
2018-10-09,ZA,2437
2018-10-10,AO,5887
2018-10-10,BE,10452
2018-10-10,BF,42843
2018-10-10,BI,3169
2018-10-10,BJ,13275
2018-10-10,CA,10398
2018-10-10,CD,49704
2018-10-10,CF,4756
2018-10-10,CG,18328
2018-10-10,CH,1661
2018-10-10,CI,110530
2018-10-10,CM,100662
2018-10-10,CN,1515
2018-10-10,DE,3230
